Date,mean_sentiment,article_count,weighted_sentiment,daily_sentiment,weighted_sentiment_rolling_z_score
2015-11-17 00:00:00+00:00,1.0,1,0.6931471805599453,positive,1.1979650496753744
2015-11-18 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5840459563167746
2015-11-20 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.10530152189247
2015-11-23 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5840459563167746
2015-11-24 00:00:00+00:00,-1.0,4,-1.6094379124341003,negative,-1.7032655781313393
2015-11-30 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.0885620272229384
2015-12-02 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5840459563167746
2015-12-03 00:00:00+00:00,-1.0,4,-1.6094379124341003,negative,-1.723871706529187
2015-12-04 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5642022253892808
2015-12-07 00:00:00+00:00,0.0,2,0.0,negative,0.3130538716896747
2015-12-10 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.0451031717766912
2015-12-11 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5486174300210322
2015-12-15 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5611104302780208
2015-12-18 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5356326102005114
2015-12-24 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5100374009422353
2015-12-30 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.0193850984019277
2016-01-07 00:00:00+00:00,1.0,2,1.0986122886681098,positive,1.884866434462235
2016-01-08 00:00:00+00:00,0.3333333333333333,3,0.46209812037329684,positive,1.0573827892990153
2016-01-10 00:00:00+00:00,1.0,1,0.6931471805599453,positive,1.3157564804668074
2016-01-12 00:00:00+00:00,0.5,4,0.8047189562170501,positive,1.407553284180802
2016-01-13 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.5238063311330907
2016-01-15 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.0307946655859836
2016-01-20 00:00:00+00:00,1.0,1,0.6931471805599453,positive,1.220173814822238
2016-01-22 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.0287623202586074
2016-01-26 00:00:00+00:00,1.0,1,0.6931471805599453,positive,1.2890288441657565
2016-01-27 00:00:00+00:00,0.0,1,0.0,negative,0.39238482562477434
2016-01-28 00:00:00+00:00,0.3333333333333333,3,0.46209812037329684,positive,0.9576838037626886
2016-02-01 00:00:00+00:00,-1.0,2,-1.0986122886681098,negative,-1.0315770928929746
2016-02-03 00:00:00+00:00,1.0,2,1.0986122886681098,positive,1.7589309708467273
2016-02-05 00:00:00+00:00,-1.0,1,-0.6931471805599453,negative,-0.4887908111694297
2016-02-12 00:00:00+00:00,1.0,1,0.6931471805599453,positive,1.2889140914961008
2016-02-16 00:00:00+00:00,0.5,2,0.5493061443340549,positive,1.1117071041881437
2016-02-17 00:00:00+00:00,-0.3333333333333333,3,-0.46209812037329684,negative,-0.16777223382668016
2016-02-18 00:00:00+00:00,0.0,4,0.0,negative,0.4215465734343511
